CodigoNacional;momento,Ts_Valor
230001;01-01-2021 00:00:00;19.4
230001;01-01-2021 01:00:00;19.2
230001;01-01-2021 02:00:00;19.2
230001;01-01-2021 03:00:00;19.2
230001;01-01-2021 04:00:00;18.8
230001;01-01-2021 05:00:00;18.6
230001;01-01-2021 06:00:00;18.8
230001;01-01-2021 07:00:00;18.9
230001;01-01-2021 08:00:00;19.2
230001;01-01-2021 09:00:00;18.7
230001;01-01-2021 10:00:00;18.7
230001;01-01-2021 11:00:00;18.9
230001;01-01-2021 12:00:00;19.6
230001;01-01-2021 13:00:00;20.4
230001;01-01-2021 14:00:00;21.4
230001;01-01-2021 15:00:00;21.8
230001;01-01-2021 16:00:00;22.1
230001;01-01-2021 17:00:00;22.3
230001;01-01-2021 18:00:00;22.6
230001;01-01-2021 19:00:00;21.7
230001;01-01-2021 20:00:00;21.2
230001;01-01-2021 21:00:00;20.8
230001;01-01-2021 21:32:00;20.5
230001;01-01-2021 22:00:00;20.7
230001;01-01-2021 23:00:00;19.8
230001;02-01-2021 00:00:00;19.3
230001;02-01-2021 01:00:00;19.3
230001;02-01-2021 02:00:00;19.1
230001;02-01-2021 03:00:00;19.0
230001;02-01-2021 04:00:00;18.7
230001;02-01-2021 05:00:00;18.4
230001;02-01-2021 06:00:00;18.5
230001;02-01-2021 06:29:00;18.5
230001;02-01-2021 07:00:00;18.4
230001;02-01-2021 08:00:00;18.4
230001;02-01-2021 08:34:00;18.5
230001;02-01-2021 09:00:00;18.5
230001;02-01-2021 10:00:00;18.6
230001;02-01-2021 11:00:00;18.8
230001;02-01-2021 12:00:00;19.2
230001;02-01-2021 13:00:00;20.6
230001;02-01-2021 14:00:00;21.0
230001;02-01-2021 15:00:00;21.4
230001;02-01-2021 16:00:00;21.6
230001;02-01-2021 17:00:00;21.5
230001;02-01-2021 18:00:00;21.4
230001;02-01-2021 19:00:00;21.5
230001;02-01-2021 20:00:00;21.2
230001;02-01-2021 21:00:00;21.3
230001;02-01-2021 22:00:00;20.7
230001;02-01-2021 23:00:00;20.2
230001;03-01-2021 00:00:00;19.8
230001;03-01-2021 01:00:00;19.7
230001;03-01-2021 02:00:00;19.5
230001;03-01-2021 03:00:00;19.2
230001;03-01-2021 04:00:00;19.2
230001;03-01-2021 05:00:00;19.1
230001;03-01-2021 06:00:00;19.3
230001;03-01-2021 07:00:00;19.0
230001;03-01-2021 08:00:00;19.0
230001;03-01-2021 09:00:00;18.8
230001;03-01-2021 10:00:00;18.5
230001;03-01-2021 11:00:00;18.7
