FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180101;0000;25;;;
180102;0000;25;;;
180103;0000;26;;;
180104;0000;23;;;
180105;0000;24;;;
180106;0000;21;;;
180107;0000;23;;;
180108;0000;23;;;
180109;0000;23;;;
180110;0000;20;;;
180111;0000;24;;;
180112;0000;24;;;
180113;0000;23;;;
180114;0000;19;;;
180115;0000;21;;;
180116;0000;22;;;
180117;0000;25;;;
180118;0000;23;;;
180119;0000;26;;;
180120;0000;21;;;
180121;0000;20;;;
180122;0000;21;;;
180123;0000;24;;;
180124;0000;25;;;
180125;0000;26;;;
180126;0000;26;;;
180127;0000;27;;;
180128;0000;25;;;
180129;0000;28;;;
180130;0000;25;;;
180131;0000;22;;;
180201;0000;26;;;
180202;0000;25;;;
180203;0000;23;;;
180204;0000;26;;;
180205;0000;25;;;
180206;0000;26;;;
180207;0000;24;;;
180208;0000;21;;;
180209;0000;27;;;
180210;0000;29;;;
180211;0000;31;;;
180212;0000;27;;;
180213;0000;34;;;
180214;0000;27;;;
180215;0000;;;26;
180216;0000;;;0;
180217;0000;;;0;
180218;0000;;;0;
180219;0000;;;30;
180220;0000;47;;;
180221;0000;42;;;
180222;0000;42;;;
180223;0000;41;;;
180224;0000;31;;;
180225;0000;23;;;
180226;0000;35;;;
180227;0000;40;;;
180228;0000;41;;;
180301;0000;33;;;
180302;0000;41;;;
180303;0000;36;;;
180304;0000;36;;;
180305;0000;56;;;
180306;0000;61;;;
180307;0000;57;;;
180308;0000;42;;;
180309;0000;49;;;
180310;0000;39;;;
180311;0000;37;;;
180312;0000;43;;;
180313;0000;50;;;
180314;0000;;;;
180315;0000;46;;;
180316;0000;40;;;
180317;0000;36;;;
180318;0000;25;;;
180319;0000;29;;;
180320;0000;35;;;
180321;0000;36;;;
180322;0000;39;;;
180323;0000;50;;;
180324;0000;43;;;
180325;0000;43;;;
180326;0000;46;;;
180327;0000;35;;;
180328;0000;35;;;
180329;0000;37;;;
180330;0000;31;;;
180331;0000;34;;;
180401;0000;40;;;
180402;0000;41;;;
180403;0000;40;;;
180404;0000;39;;;
180405;0000;28;;;
180406;0000;35;;;
180407;0000;34;;;
180408;0000;29;;;
180409;0000;34;;;
180410;0000;27;;;
180411;0000;26;;;
180412;0000;25;;;
180413;0000;29;;;
180414;0000;25;;;
180415;0000;26;;;
180416;0000;25;;;
180417;0000;41;;;
180418;0000;50;;;
180419;0000;34;;;
180420;0000;40;;;
180421;0000;29;;;
180422;0000;34;;;
180423;0000;29;;;
180424;0000;38;;;
180425;0000;36;;;
180426;0000;32;;;
180427;0000;36;;;
180428;0000;34;;;
180429;0000;29;;;
180430;0000;27;;;
180501;0000;21;;;
180502;0000;26;;;
180503;0000;31;;;
180504;0000;43;;;
180505;0000;34;;;
180506;0000;36;;;
180507;0000;35;;;
180508;0000;24;;;
180509;0000;36;;;
180510;0000;37;;;
180511;0000;33;;;
180512;0000;31;;;
180513;0000;38;;;
180514;0000;37;;;
180515;0000;33;;;
180516;0000;33;;;
180517;0000;;;13;
180518;0000;34;;;
180519;0000;39;;;
180520;0000;44;;;
180521;0000;37;;;
180522;0000;45;;;
180523;0000;43;;;
180524;0000;44;;;
180525;0000;39;;;
180526;0000;42;;;
180527;0000;39;;;
180528;0000;34;;;
180529;0000;36;;;
180530;0000;35;;;
180531;0000;29;;;
180601;0000;32;;;
180602;0000;28;;;
180603;0000;35;;;
180604;0000;43;;;
180605;0000;43;;;
180606;0000;52;;;
180607;0000;47;;;
180608;0000;46;;;
180609;0000;40;;;
180610;0000;38;;;
180611;0000;35;;;
180612;0000;51;;;
180613;0000;51;;;
180614;0000;48;;;
180615;0000;56;;;
180616;0000;51;;;
180617;0000;44;;;
180618;0000;46;;;
180619;0000;38;;;
180620;0000;35;;;
180621;0000;37;;;
180622;0000;44;;;
180623;0000;69;;;
180624;0000;31;;;
180625;0000;35;;;
180626;0000;36;;;
180627;0000;35;;;
180628;0000;41;;;
180629;0000;38;;;
180630;0000;34;;;
180701;0000;39;;;
180702;0000;28;;;
180703;0000;29;;;
180704;0000;31;;;
